
State Machine - |lab4|state
Name s15 s14 s13 s12 s11 s10 s9 s8 s7 s6 s5 s4 s3 s2 s1 s0 
s0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
s1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
s2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
s3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
s4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
s5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
s6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
s7 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
s8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
s9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
s10 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
s11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
s12 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
s13 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
s14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
s15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
